Ordre;Site_gestion_date_Quadrat;Qtte_Plantes;Sp_Plantes;individu;Sp_Pollinisateurs;N_Interactions
59;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;51;Syrphus_spec.;1
60;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;52;Syrphus_spec.;1
61;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;53;Lasioglossum_spec.;1
62;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;55;Lasioglossum_spec.;2
63;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;59;Sphaerophoria_spec.;1
64;Cyclotron_Fauche_Juin;5;Centaurea_jacea;54;Bombus_vestalis/bohemicus;2
65;Cyclotron_Fauche_Juin;5;Centaurea_jacea;56;Bombus_vestalis/bohemicus;5
66;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;57;Syrphus_spec.;4
67;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;58;Cheilosia_spec.;1
68;Cyclotron_Fauche_Juin;5;Centaurea_jacea;60;Bombus_vestalis/bohemicus;5
69;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;61;Eupeodes_corollae;2
70;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;62;Platycheirus_albimanus;1
71;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;63;Sphaerophoria_spec.;1
72;Cyclotron_Fauche_Juin;5;Centaurea_jacea;64;Lasioglossum_spec.;1
73;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;65;Eristalis_nemorum;1
74;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;67;Eristalis_tenax;1
75;Cyclotron_Fauche_Juin;45;Leucanthemum_vulgare;68;Syritta_pipiens;1
76;Cyclotron_Fauche_Juin;5;Centaurea_jacea;69;Apis_mellifera;1
77;CEI_Tonte_Juin;3;Ranunculus_repens;76;Syrphus_spec.;1
78;CEI_Tonte_Juin;216;Trifolium_repens;71;Apis_mellifera;1
79;CEI_Tonte_Juin;216;Trifolium_repens;72;Apis_mellifera;4
80;CEI_Tonte_Juin;216;Trifolium_repens;87;Syrphus_spec.;2
81;CEI_Tonte_Juin;216;Trifolium_repens;73;Apis_mellifera;2
82;CEI_Tonte_Juin;216;Trifolium_repens;74;Bombus_terrestris/lucorum/magnus/cryptarum;1
83;CEI_Tonte_Juin;216;Trifolium_repens;75;Scaeva_spec.;1
84;CEI_Tonte_Juin;216;Trifolium_repens;77;Apis_mellifera;12
85;CEI_Tonte_Juin;216;Trifolium_repens;78;Apis_mellifera;1
86;CEI_Tonte_Juin;3;Ranunculus_repens;79;Syrphus_spec.;1
87;CEI_Tonte_Juin;216;Trifolium_repens;82;Bombus_pascuorum;1
88;CEI_Tonte_Juin;216;Trifolium_repens;80;Apis_mellifera;5
89;CEI_Tonte_Juin;216;Trifolium_repens;81;Apis_mellifera;21
90;CEI_Tonte_Juin;216;Trifolium_repens;83;Apis_mellifera;7
91;CEI_Tonte_Juin;216;Trifolium_repens;84;Apis_mellifera;1
92;CEI_Tonte_Juin;216;Trifolium_repens;85;Apis_mellifera;7
93;CEI_Tonte_Juin;216;Trifolium_repens;86;Bombus_lapidarius;1
94;CEI_Fauche_Juin_Q1;3;Bellis_perennis;;No;0
95;CEI_Fauche_Juin_Q1;12;Vicia_sativa;;No;0
96;CEI_Fauche_Juin_Q2;3;Bellis_perennis;;No;0
97;CEI_Fauche_Juin_Q2;8;Hypochaeris_radicata;;No;0
98;CEI_Fauche_Juin_Q2;13;Trifolium_dubium;;No;0
99;CEI_Fauche_Juin_Q3;1;Bellis_perennis;88;Syrphus_spec.;1
100;CEI_Fauche_Juin_Q3;8;Leucanthemum_vulgare;;No;0
101;CEI_Fauche_Juin_Q3;4;Trifolium_dubium;;No;0
102;Vinci_Tonte_Juin;4;Bellis_perennis;;No;0
103;Vinci_Tonte_Juin;19;Trifolium_repens;89;Apis_mellifera;1
104;Source_Tonte_Juin;31;Bellis_perennis;90;Episyrphus_balteatus;1
105;Source_Tonte_Juin;420;Trifolium_repens;97;Apis_mellifera;2
106;Source_Tonte_Juin;420;Trifolium_repens;91;Syrphus_spec.;1
107;Source_Tonte_Juin;420;Trifolium_repens;92;Apis_mellifera;3
108;Source_Tonte_Juin;420;Trifolium_repens;93;Andrena_dorsata;1
109;Source_Tonte_Juin;420;Trifolium_repens;94;Apis_mellifera;3
110;Source_Tonte_Juin;31;Bellis_perennis;95;Episyrphus_balteatus;1
111;Source_Tonte_Juin;420;Trifolium_repens;96;Syrphus_spec.;2
112;Anneau_CN_Fauche_Juin_Q1;3;Bellis_perennis;;No;0
113;Anneau_CN_Fauche_Juin_Q1;33;Hypochaeris_radicata;103;Scaeva_pyrastri;1
114;Anneau_CN_Fauche_Juin_Q1;1;Jacobaea_vulgaris;;No;0
115;Anneau_CN_Fauche_Juin_Q1;1;Prunella_vulgaris;;No;0
116;Anneau_CN_Fauche_Juin_Q1;2;Ranunculus_repens;102;Platycheirus_albimanus;1
117;Anneau_CN_Fauche_Juin_Q1;11;Trifolium_dubium;;No;0
118;Anneau_CN_Fauche_Juin_Q1;5;Vicia_tetrasperma;;No;0
119;Anneau_CN_Fauche_Juin_Q1;33;Hypochaeris_radicata;98;Syrphus_spec.;2
120;Anneau_CN_Fauche_Juin_Q1;33;Hypochaeris_radicata;99;Episyrphus_balteatus;1
121;Anneau_CN_Fauche_Juin_Q1;33;Hypochaeris_radicata;100;Andrena_fulvago;1
122;Anneau_CN_Fauche_Juin_Q1;33;Hypochaeris_radicata;101;Syrphus_spec.;1
123;Anneau_CN_Fauche_Juin_Q2;1;Bellis_perennis;;No;0
124;Anneau_CN_Fauche_Juin_Q2;2;Hypochaeris_radicata;104;Syrphus_spec.;1
125;Anneau_CN_Fauche_Juin_Q2;200;Medicago_lupulina;;No;0
126;Anneau_CN_Fauche_Juin_Q2;50;Trifolium_pratense;105;Bombus_pascuorum;1
127;Anneau_CN_Fauche_Juin_Q2;50;Trifolium_pratense;104;Syrphus_spec.;1
128;Anneau_CN_Fauche_Juin_Q3;7;Bellis_perennis;;No;0
129;Anneau_CN_Fauche_Juin_Q3;2;Geranium_dissectum;;No;0
130;Anneau_CN_Fauche_Juin_Q3;2;Hypochaeris_radicata;107;Lasioglossum_(Dialictus)_spec.;1
131;Anneau_CN_Fauche_Juin_Q3;55;Medicago_lupulina;;No;0
132;Anneau_CN_Fauche_Juin_Q3;49;Trifolium_campestre;;No;0
133;Anneau_CN_Fauche_Juin_Q3;2;Hypochaeris_radicata;;No;0
134;Anneau_CN_Fauche_Juin_Q3;2;Hypochaeris_radicata;106;Sphaerophoria_scripta;1
135;BlancsChevaux_Tonte_Juin;1;Bellis_perennis;;No;0
136;BlancsChevaux_Tonte_Juin;100;Trifolium_repens;109;Apis_mellifera;1
137;BlancsChevaux_Tonte_Juin;100;Trifolium_repens;108;Episyrphus_balteatus;1
138;CAV_Fauche_Juin_Q1;5;Achillea_millefolium;111;Apis_mellifera;1
139;CAV_Fauche_Juin_Q1;20;Centaurea_jacea;110;Bombus_lapidarius;3
140;CAV_Fauche_Juin_Q1;4;Hypochaeris_radicata;112;Syrphus_spec.;1
141;CAV_Fauche_Juin_Q1;3;Knautia_arvensis;119;Bombus_terrestris/lucorum/magnus/cryptarum;1
142;CAV_Fauche_Juin_Q1;41;Lotus_corniculatus;113;Syrphus_spec.;1
143;CAV_Fauche_Juin_Q1;12;Medicago_lupulina;;No;0
144;CAV_Fauche_Juin_Q1;15;Trifolium_pratense;;No;0
145;CAV_Fauche_Juin_Q1;3;Knautia_arvensis;111;Apis_mellifera;3
146;CAV_Fauche_Juin_Q1;5;Achillea_millefolium;114;Sphaerophoria_spec.;2
147;CAV_Fauche_Juin_Q1;20;Centaurea_jacea;115;Lasioglossum_spec.;1
148;CAV_Fauche_Juin_Q1;20;Centaurea_jacea;116;Lasioglossum_spec.;1
149;CAV_Fauche_Juin_Q1;5;Achillea_millefolium;117;Sphaerophoria_spec.;1
150;CAV_Fauche_Juin_Q1;4;Hypochaeris_radicata;117;Sphaerophoria_spec.;1
151;CAV_Fauche_Juin_Q1;3;Knautia_arvensis;118;Lasioglossum_spec.;1
152;CAV_Fauche_Juin_Q2;2;Centaurea_jacea;;No;0
153;CAV_Fauche_Juin_Q2;75;Knautia_arvensis;130;Apis_mellifera;2
154;CAV_Fauche_Juin_Q2;3;Lotus_corniculatus;;No;0
155;CAV_Fauche_Juin_Q2;59;Medicago_lupulina;;No;0
156;CAV_Fauche_Juin_Q2;1;Prunella_vulgaris;;No;0
157;CAV_Fauche_Juin_Q2;13;Trifolium_pratense;;No;0
158;CAV_Fauche_Juin_Q2;75;Knautia_arvensis;121;Bombus_terrestris/lucorum/magnus/cryptarum;33
159;CAV_Fauche_Juin_Q2;75;Knautia_arvensis;122;Syrphus_spec.;3
160;CAV_Fauche_Juin_Q2;75;Knautia_arvensis;123;Apis_mellifera;1
161;CAV_Fauche_Juin_Q2;2;Centaurea_jacea;120;Apis_mellifera;1
162;CAV_Fauche_Juin_Q2;75;Knautia_arvensis;124;Bombus_vestalis/bohemicus;1
163;CAV_Fauche_Juin_Q2;75;Knautia_arvensis;125;Bombus_pratorum;4
164;CAV_Fauche_Juin_Q2;75;Knautia_arvensis;126;Bombus_pascuorum;1
165;CAV_Fauche_Juin_Q2;13;Trifolium_pratense;127;Lasioglossum_spec.;1
166;CAV_Fauche_Juin_Q2;75;Knautia_arvensis;127;Lasioglossum_spec.;1
167;CAV_Fauche_Juin_Q2;75;Knautia_arvensis;128;Lasioglossum_spec.;2
168;CAV_Fauche_Juin_Q2;75;Knautia_arvensis;129;Bombus_pratorum;1
169;Blocry_Tonte_Juin;14;Bellis_perennis;;No;0
170;Blocry_Tonte_Juin;122;Trifolium_repens;133;Bombus_pascuorum;2
171;Blocry_Tonte_Juin;122;Trifolium_repens;131;Syrphus_spec.;1
172;Blocry_Tonte_Juin;122;Trifolium_repens;132;Eupeodes_corollae;1
173;Herge_Tonte_Juin;5;Bellis_perennis;;No;0
174;Herge_Tonte_Juin;46;Trifolium_dubium;;No;0
175;Herge_Tonte_Juin;30;Trifolium_repens;134;Apis_mellifera;1
176;Blvd_Nord_Fauche_Juin;7;Cirsium_arvense;141;Syrphus_spec.;1
177;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;139;Syrphus_spec.;1
178;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;135;Syrphus_spec.;2
179;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;136;Syrphus_spec.;2
180;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;137;Syrphus_spec.;1
181;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;138;Lasioglossum_spec.;1
182;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;140;Syrphus_spec.;1
183;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;153;Sphaerophoria_spec.;1
184;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;144;Episyrphus_balteatus;2
185;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;141;Syrphus_spec.;2
186;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;143;Syrphus_spec.;2
187;Blvd_Nord_Fauche_Juin;7;Cirsium_arvense;142;Syrphus_spec.;1
188;Blvd_Nord_Fauche_Juin;7;Cirsium_arvense;145;Syrphus_spec.;1
189;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;142;Syrphus_spec.;1
190;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;145;Syrphus_spec.;1
191;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;146;Syrphus_spec.;2
192;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;147;Syrphus_ribesii;1
193;Blvd_Nord_Fauche_Juin;7;Cirsium_arvense;148;Syrphus_ribesii;1
194;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;148;Syrphus_ribesii;2
195;Blvd_Nord_Fauche_Juin;7;Cirsium_arvense;149;Apis_mellifera;1
196;Blvd_Nord_Fauche_Juin;7;Cirsium_arvense;150;Eristalis_tenax;1
197;Blvd_Nord_Fauche_Juin;7;Cirsium_arvense;151;Macroglossum_stellatarum;1
198;Blvd_Nord_Fauche_Juin;7;Cirsium_arvense;152;Syrphus_spec.;1
199;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;154;Lasioglossum_spec.;1
200;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;155;Syrphus_spec.;1
201;Blvd_Nord_Fauche_Juin;7;Cirsium_arvense;156;Maniola_jurtina;1
202;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;159;Episyrphus_balteatus;1
203;Blvd_Nord_Fauche_Juin;7;Cirsium_arvense;157;Apis_mellifera;1
204;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;158;Andrena_spec.;1
205;Blvd_Nord_Fauche_Juin;7;Cirsium_arvense;160;Syrphus_spec.;1
206;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;161;Eristalis_tenax;1
207;Blvd_Nord_Fauche_Juin;7;Cirsium_arvense;162;Syrphus_spec.;1
208;Blvd_Nord_Fauche_Juin;2;Jacobaea_vulgaris;163;Episyrphus_balteatus;2
209;Blvd_Nord_Fauche_Juin;7;Cirsium_arvense;164;Apis_mellifera;1
210;Gare_bus_Tonte_Juin;20;Bellis_perennis;166;Eupeodes_corollae;2
211;Gare_bus_Tonte_Juin;27;Trifolium_repens;;No;0
212;Gare_bus_Tonte_Juin;20;Bellis_perennis;165;Eupeodes_corollae;2
213;Aula_Tonte_Juin;72;Bellis_perennis;167;Anthophila_indet.;1
214;Aula_Tonte_Juin;1;Geranium_molle;;No;0
215;Aula_Tonte_Juin;9;Lotus_corniculatus;;No;0
216;Aula_Tonte_Juin;15;Plantago_lanceolata;;No;0
217;Lac_Fauche_Juin;20;Centaurea_jacea;168;Apis_mellifera;1
218;Lac_Fauche_Juin;8;Geranium_dissectum;;No;0
219;Lac_Fauche_Juin;13;Lotus_corniculatus;175;Syrphus_spec.;2
220;Lac_Fauche_Juin;20;Centaurea_jacea;169;Apis_mellifera;2
221;Lac_Fauche_Juin;20;Centaurea_jacea;170;Eupeodes_corollae;1
222;Lac_Fauche_Juin;20;Centaurea_jacea;171;Maniola_jurtina;1
223;Lac_Fauche_Juin;20;Centaurea_jacea;172;Maniola_jurtina;2
224;Lac_Fauche_Juin;20;Centaurea_jacea;179;Sphaerophoria_spec.;2
225;Lac_Fauche_Juin;20;Centaurea_jacea;173;Episyrphus_balteatus;1
226;Lac_Fauche_Juin;20;Centaurea_jacea;180;Bombus_lapidarius;1
227;Lac_Fauche_Juin;20;Centaurea_jacea;178;Lasioglossum_(Dialictus)_spec.;5
228;Lac_Fauche_Juin;20;Centaurea_jacea;174;Eupeodes_corollae;3
229;Lac_Fauche_Juin;20;Centaurea_jacea;176;Eupeodes_corollae;1
230;Lac_Fauche_Juin;20;Centaurea_jacea;177;Maniola_jurtina;1
231;Lac_Tonte_Juin;7;Bellis_perennis;;No;0
232;Lac_Tonte_Juin;3;Plantago_lanceolata;;No;0
233;Lac_Tonte_Juin;20;Trifolium_dubium;;No;0
234;Lac_Tonte_Juin;10;Trifolium_pratense;;No;0
235;Lac_Tonte_Juin;204;Trifolium_repens;181;Apis_mellifera;3
236;Lac_Tonte_Juin;204;Trifolium_repens;182;Apis_mellifera;8
237;Lac_Tonte_Juin;4;Hypochaeris_radicata;183;Syrphus_spec.;2
238;Lac_Tonte_Juin;4;Hypochaeris_radicata;184;Sphaerophoria_scripta;1
239;Lac_Tonte_Juin;204;Trifolium_repens;185;Apis_mellifera;3
240;Lac_Tonte_Juin;204;Trifolium_repens;186;Apis_mellifera;6
241;Lac_Tonte_Juin;4;Hypochaeris_radicata;187;Sphaerophoria_scripta;1
242;Lac_Tonte_Juin;204;Trifolium_repens;188;Apis_mellifera;13
243;Lac_Tonte_Juin;204;Trifolium_repens;189;Platycheirus_albimanus;2
244;Lac_Tonte_Juin;204;Trifolium_repens;190;Apis_mellifera;2
245;Lac_Tonte_Juin;204;Trifolium_repens;191;Apis_mellifera;16
246;Lac_Tonte_Juin;204;Trifolium_repens;192;Syrphus_spec.;1
247;Lac_Tonte_Juin;204;Trifolium_repens;193;Apis_mellifera;4
248;Lac_Tonte_Juin;4;Hypochaeris_radicata;194;Syrphus_spec.;1
249;Lac_Tonte_Juin;4;Hypochaeris_radicata;195;Sphaerophoria_scripta;1
250;Lac_Tonte_Juin;204;Trifolium_repens;196;Apis_mellifera;1
251;Lac_Tonte_Juin;4;Hypochaeris_radicata;197;Eupeodes_corollae;1
252;Lac_Tonte_Juin;204;Trifolium_repens;198;Apis_mellifera;2
253;Lac_Tonte_Juin;204;Trifolium_repens;199;Andrena_flavipes;6
254;Lac_Tonte_Juin;204;Trifolium_repens;200;Apis_mellifera;15
255;Lac_Tonte_Juin;204;Trifolium_repens;201;Apis_mellifera;16
256;Lac_Tonte_Juin;204;Trifolium_repens;202;Apis_mellifera;4
257;Lac_Tonte_Juin;204;Trifolium_repens;203;Apis_mellifera;1
258;Lac_Tonte_Juin;4;Hypochaeris_radicata;204;Episyrphus_balteatus;1
259;Lac_Tonte_Juin;4;Hypochaeris_radicata;205;Sphaerophoria_scripta;1
260;Lac_Tonte_Juin;204;Trifolium_repens;206;Apis_mellifera;5
261;Rondes_Bosses_Tonte_Juin;104;Bellis_perennis;207;Eupeodes_corollae;21
262;Rondes_Bosses_Tonte_Juin;7;Hypochaeris_radicata;212;Eupeodes_luniger;1
263;Rondes_Bosses_Tonte_Juin;3;Ranunculus_repens;213;Syrphus_spec.;1
264;Rondes_Bosses_Tonte_Juin;220;Trifolium_repens;208;Apis_mellifera;2
265;Rondes_Bosses_Tonte_Juin;1;Veronica_arvensis;;No;0
266;Rondes_Bosses_Tonte_Juin;104;Bellis_perennis;209;Lasioglossum_spec.;2
267;Rondes_Bosses_Tonte_Juin;104;Bellis_perennis;210;Syrphus_ribesii;4
268;Rondes_Bosses_Tonte_Juin;104;Bellis_perennis;211;Syrphus_spec.;1
269;Rondes_Bosses_Tonte_Juin;104;Bellis_perennis;214;Eupeodes_corollae;3
270;Rondes_Bosses_Tonte_Juin;104;Bellis_perennis;215;Eupeodes_corollae;3
271;Rondes_Bosses_Tonte_Juin;104;Bellis_perennis;216;Lasioglossum_spec.;2
272;Rondes_Bosses_Tonte_Juin;7;Hypochaeris_radicata;227;Syrphus_spec.;2
273;Rondes_Bosses_Tonte_Juin;3;Ranunculus_repens;216;Lasioglossum_spec.;1
274;Rondes_Bosses_Tonte_Juin;220;Trifolium_repens;217;Apis_mellifera;5
275;Rondes_Bosses_Tonte_Juin;104;Bellis_perennis;218;Eupeodes_luniger;1
276;Rondes_Bosses_Tonte_Juin;220;Trifolium_repens;219;Bombus_terrestris/lucorum/magnus/cryptarum;1
277;Rondes_Bosses_Tonte_Juin;104;Bellis_perennis;220;Sphaerophoria_scripta;2
278;Rondes_Bosses_Tonte_Juin;220;Trifolium_repens;221;Apis_mellifera;9
279;Rondes_Bosses_Tonte_Juin;3;Ranunculus_repens;222;Lasioglossum_spec.;1
280;Rondes_Bosses_Tonte_Juin;7;Hypochaeris_radicata;223;Episyrphus_balteatus;1
281;Rondes_Bosses_Tonte_Juin;7;Hypochaeris_radicata;224;Syrphus_spec.;2
282;Rondes_Bosses_Tonte_Juin;104;Bellis_perennis;224;Syrphus_spec.;5
283;Rondes_Bosses_Tonte_Juin;104;Bellis_perennis;225;Sphaerophoria_scripta;5
284;Rondes_Bosses_Tonte_Juin;104;Bellis_perennis;226;Syrphus_spec.;2
285;Bois_Palette_Tonte_Juin;10;Bellis_perennis;234;Syrphus_ribesii;1
286;Bois_Palette_Tonte_Juin;51;Trifolium_repens;228;Apis_mellifera;3
287;Bois_Palette_Tonte_Juin;10;Bellis_perennis;229;Syrphus_spec.;2
288;Bois_Palette_Tonte_Juin;51;Trifolium_repens;230;Apis_mellifera;7
289;Bois_Palette_Tonte_Juin;10;Bellis_perennis;231;Syrphus_spec.;1
290;Bois_Palette_Tonte_Juin;51;Trifolium_repens;232;Apis_mellifera;2
291;Bois_Palette_Tonte_Juin;51;Trifolium_repens;233;Apis_mellifera;3
292;Parc_Lapins_Tonte_Juin;16;Trifolium_repens;235;Bombus_lapidarius;1
293;Parc_Lapins_Fauche_Juin;;;;No;0
294;Lauzelle_Fauche_Juin;;;;No;0
295;Esplanade_Fauche_Juin;6;Daucus_carota;263;Hylaeus_spec.;1
296;Esplanade_Fauche_Juin;4;Jacobaea_vulgaris;244;Heriades_truncorum;1
297;Esplanade_Fauche_Juin;2;Plantago_lanceolata;;No;0
298;Esplanade_Fauche_Juin;18;Trifolium_pratense;245;Bombus_pascuorum;3
299;Esplanade_Fauche_Juin;6;Daucus_carota;236;Hylaeus_spec.;2
300;Esplanade_Fauche_Juin;6;Daucus_carota;237;Hylaeus_spec.;2
301;Esplanade_Fauche_Juin;6;Daucus_carota;238;Hylaeus_spec.;1
302;Esplanade_Fauche_Juin;6;Daucus_carota;239;Hylaeus_spec.;3
303;Esplanade_Fauche_Juin;6;Daucus_carota;240;Hylaeus_spec.;2
304;Esplanade_Fauche_Juin;6;Daucus_carota;241;Hylaeus_spec.;4
305;Esplanade_Fauche_Juin;6;Daucus_carota;242;Hylaeus_spec.;2
306;Esplanade_Fauche_Juin;6;Daucus_carota;243;Sphecodes_spec.;2
307;Esplanade_Fauche_Juin;4;Jacobaea_vulgaris;246;Eupeodes_corollae;1
308;Esplanade_Fauche_Juin;6;Daucus_carota;247;Hylaeus_spec.;2
309;Esplanade_Fauche_Juin;6;Daucus_carota;248;Sphecodes_spec.;2
310;Esplanade_Fauche_Juin;4;Jacobaea_vulgaris;249;Sphecodes_spec.;1
311;Esplanade_Fauche_Juin;6;Daucus_carota;250;Hylaeus_spec.;3
312;Esplanade_Fauche_Juin;6;Daucus_carota;251;Sphecodes_spec.;1
